item_id,item_name,category,item_condition,starting_price,final_price,bids_count,auction_duration,seller_rating,buyer_region
86,Wireless Headphones,Electronics,1,17.11,2040.72,93,24,4.7,Asia
87,Laptop,Electronics,3,104.87,1578.07,52,70,1.9,Asia
88,Canvas Painting,Clothing,4,108.97,1107.89,74,45,3.3,Asia
89,Luggage Set,Art,3,222.2,1293.95,20,16,3.8,South America
90,Laptop,Books,2,303.53,2321.65,77,59,2.4,Europe
91,Winter Coat,Clothing,3,29.97,1811.11,52,56,3.9,Asia
92,Laptop,Electronics,3,52.81,910.67,89,37,3.4,Australia
93,Collectible Coin,Jewelry,2,492.18,2733.06,40,29,2.3,Australia
94,Cookware Set,Electronics,2,321.99,2971.04,86,47,3.6,South America
95,Winter Coat,Jewelry,3,99.59,4959.26,68,52,1.1,Europe
96,LED TV,Furniture,4,343.41,4885.01,96,10,1.8,North America
97,Vintage Watch,Art,1,318.22,1947.2,73,50,3.5,North America
98,E-Reader,Clothing,3,214.66,2238.28,25,43,1.4,Australia
99,Canvas Painting,Electronics,2,306.31,4262.58,86,64,4.3,South America
100,Wireless Headphones,Clothing,2,415.89,2811.45,4,27,2.7,Europe
101,Board Game,Clothing,1,489.86,2072.72,75,40,4.1,Africa
102,Bluetooth Speaker,Electronics,4,395.88,4308.54,52,52,1.3,North America
103,Electric Guitar,Art,2,475.59,1463.39,58,22,1.3,Africa
104,Winter Coat,Furniture,3,294.96,2413.81,63,55,1.2,Asia
105,Smartwatch,Books,1,216.96,764.17,57,64,4.7,Africa
106,Fitness Tracker,Clothing,4,15.97,3495.28,2,65,2.3,South America
107,Baby Stroller,Jewelry,1,404.79,1772.41,5,11,3.4,South America
108,Collectible Coin,Books,2,319.55,2444.87,40,8,2.1,Asia
109,Wireless Headphones,Jewelry,1,65.71,758.51,82,15,1.5,Asia
110,Wireless Headphones,Art,1,369.56,4525.49,100,18,4.9,Australia
111,Smartwatch,Furniture,4,146.11,465.81,26,34,3.8,Africa
112,Wall Art,Art,2,293.01,3347.73,3,49,4.1,Africa
113,Smartwatch,Jewelry,4,173.19,1314.48,56,8,3.8,Africa
114,Sofa,Furniture,4,160.24,1883.99,79,52,4.2,Europe
115,LED TV,Furniture,4,93.45,4915.3,18,57,3.4,North America
116,LED TV,Furniture,1,332.59,3007.56,17,41,2.5,Europe
117,Electric Guitar,Jewelry,3,307.28,1601.17,5,4,2.5,Africa
118,Action Figure,Art,3,457.34,2710.94,77,10,3.5,Europe
119,Dining Table,Books,2,325.3,4922.22,72,58,1.9,North America
120,Bookshelf,Furniture,3,150.18,281.72,66,68,3.9,Australia
121,Dog Bed,Clothing,4,389.41,3708.01,24,51,1.3,Australia
122,Board Game,Books,2,415.91,44.78,6,36,4.3,Europe
123,Backpack,Books,2,402.61,628.35,15,65,4.0,Africa
124,Wall Art,Clothing,4,270.14,442.61,25,57,2.0,North America
125,Leather Jacket,Books,1,470.34,3672.36,72,40,4.2,Africa
126,Dog Bed,Books,2,285.44,4414.28,96,39,3.3,South America
127,Luggage Set,Electronics,1,256.41,1484.42,18,26,1.8,North America
128,Sofa,Electronics,2,174.54,711.58,27,39,2.8,South America
129,Electric Guitar,Art,1,151.21,971.64,53,49,2.2,North America
130,Gaming Console,Furniture,4,341.53,3514.65,67,14,4.1,North America
131,Cookware Set,Electronics,1,98.65,2919.53,75,36,2.1,Asia
132,4K Projector,Clothing,2,456.13,4948.86,69,5,4.3,Europe
133,Wall Art,Jewelry,4,284.65,369.32,76,2,2.2,Europe
134,Desk Lamp,Books,1,25.21,2926.97,10,45,4.4,Australia
135,Camera Lens,Jewelry,1,179.28,2982.03,44,15,3.9,Asia
136,E-Reader,Furniture,1,200.43,2320.21,38,27,1.5,Asia
137,Leather Jacket,Furniture,1,466.77,2254.62,91,63,2.6,Australia
138,Collectible Coin,Electronics,2,162.97,3514.81,65,63,4.8,Africa
139,Board Game,Furniture,3,121.49,1614.26,42,68,4.9,Australia
140,4K Projector,Furniture,4,412.67,4950.19,8,32,4.6,South America
141,Canvas Painting,Art,3,298.23,3351.84,41,69,3.6,Australia
142,Desk Lamp,Furniture,4,337.72,4401.4,70,59,1.5,Africa
143,Wall Art,Jewelry,2,11.85,105.76,52,12,3.3,Africa
144,Espresso Machine,Jewelry,2,157.59,3458.36,7,26,1.5,Europe
145,Dining Table,Art,4,416.45,4723.55,45,11,4.6,Europe
146,Gaming Console,Jewelry,3,206.47,567.2,93,36,3.7,South America
147,Collectible Coin,Electronics,2,434.0,4935.38,7,32,1.4,North America
148,Smart Thermostat,Clothing,1,57.13,2173.7,81,48,3.9,Africa
149,E-Reader,Art,4,222.59,2717.74,94,45,2.2,Australia
150,Bluetooth Speaker,Books,2,289.49,496.04,19,32,1.3,Asia
151,Fitness Tracker,Books,4,168.93,3477.73,11,52,4.2,South America
152,Laptop,Electronics,2,489.53,3174.37,61,24,1.3,South America
153,Bluetooth Speaker,Furniture,4,198.32,3900.16,16,5,4.8,Africa
154,4K Projector,Jewelry,1,270.21,318.43,76,60,4.4,Africa
155,Tablet,Clothing,4,377.93,4436.36,54,18,2.7,North America
156,Vintage Watch,Electronics,3,401.14,3062.61,63,65,5.0,Africa
157,Bluetooth Speaker,Furniture,1,488.15,4529.12,79,44,4.7,Europe
158,Fitness Tracker,Furniture,3,233.2,4795.68,44,23,3.0,North America
159,Camera Lens,Books,1,175.84,1351.02,68,62,1.6,South America
160,Sneakers,Clothing,1,424.9,4049.42,38,12,3.1,Europe
161,Designer Handbag,Jewelry,2,50.63,4948.61,67,7,3.4,Asia
162,Smartphone,Books,3,404.61,3555.34,72,63,2.2,Europe
163,Cookware Set,Art,2,275.83,57.39,12,44,3.3,South America
164,Cookware Set,Clothing,4,78.71,636.41,57,65,3.5,Africa
165,Backpack,Books,4,484.28,2324.43,29,34,3.1,Europe
166,Vintage Watch,Furniture,3,370.86,1961.97,99,8,4.8,Australia
167,Diamond Ring,Electronics,4,294.82,179.15,51,68,3.5,Australia
168,Bluetooth Speaker,Art,1,137.31,1718.48,11,59,3.0,South America
169,Portable Charger,Furniture,1,393.7,4449.55,16,3,2.6,Australia
170,Sofa,Books,4,363.11,1113.73,87,2,5.0,Africa
171,Mountain Bike,Electronics,4,191.52,1535.64,96,3,4.3,Asia
172,Dining Table,Art,3,84.23,4522.84,77,29,3.6,Europe
173,Gaming Console,Furniture,3,369.77,897.98,13,21,4.6,South America
174,Canvas Painting,Electronics,2,105.39,3419.76,85,20,4.7,Africa
175,Leather Jacket,Clothing,2,407.77,3238.04,44,34,2.8,Australia
176,Sofa,Clothing,4,245.1,3536.85,70,28,4.8,Europe
177,Leather Jacket,Art,1,50.24,912.77,85,39,3.5,Asia
178,Vintage Watch,Furniture,2,396.14,3679.44,33,67,2.7,Australia
179,Mountain Bike,Furniture,4,258.68,1453.56,9,1,2.8,South America
180,Sneakers,Clothing,1,455.49,1734.01,18,59,3.2,Asia
181,Canvas Painting,Furniture,1,292.25,3577.42,97,64,3.4,Australia
182,Portable Charger,Furniture,1,58.75,2723.0,16,71,4.8,Asia
183,Smartwatch,Art,2,323.14,722.19,45,7,2.8,South America
184,Smartwatch,Clothing,2,38.1,1529.48,33,5,4.1,Africa
185,Canvas Painting,Jewelry,3,76.58,3189.59,61,72,1.7,Asia
186,Wireless Headphones,Clothing,2,274.46,3471.77,76,2,3.6,Asia
187,Winter Coat,Jewelry,1,169.39,839.91,65,27,4.0,Africa
188,Camera Lens,Clothing,1,116.25,2428.57,22,51,1.6,North America
189,Canvas Painting,Furniture,4,40.69,4831.87,61,35,3.2,Africa
190,Canvas Painting,Jewelry,4,474.43,2130.54,89,65,4.9,North America
191,Baby Stroller,Art,3,245.76,3390.75,25,5,1.9,Australia
192,Robot Vacuum,Books,2,94.27,2653.87,7,2,4.9,South America
193,Coffee Maker,Furniture,1,267.19,3702.76,84,56,2.9,Africa
194,Coffee Maker,Clothing,3,146.93,814.06,62,66,3.9,Australia
195,Camera Lens,Furniture,3,278.95,945.45,91,62,4.9,Africa
196,Sneakers,Jewelry,1,494.06,4755.0,1,14,2.6,Australia
197,Canvas Painting,Art,1,82.56,872.95,41,5,4.6,Europe
198,Desk Lamp,Jewelry,3,389.38,102.44,68,11,1.0,North America
199,Collectible Coin,Jewelry,4,137.31,444.02,52,41,3.2,North America
200,Robot Vacuum,Furniture,2,292.1,4617.97,63,34,3.9,Europe
201,4K Projector,Books,1,478.28,1828.52,38,53,2.7,Europe
202,4K Projector,Art,3,16.86,4187.41,86,35,2.5,South America
203,4K Projector,Art,4,203.88,3424.05,36,39,1.0,Australia
204,Mountain Bike,Electronics,2,328.79,1911.94,37,20,1.3,Europe
205,Mountain Bike,Clothing,3,75.27,4618.89,70,58,3.5,North America
206,Laptop,Clothing,3,405.49,2641.59,85,17,1.1,Australia
207,Antique Vase,Furniture,3,312.27,2407.38,11,32,1.8,South America
208,Winter Coat,Clothing,4,439.19,959.94,43,45,5.0,North America
209,Smart Thermostat,Clothing,1,37.0,1362.18,33,60,3.8,South America
210,Dog Bed,Furniture,2,321.27,4700.28,14,43,1.9,Africa
211,Bluetooth Speaker,Furniture,2,369.06,2180.89,52,55,2.9,North America
212,Espresso Machine,Furniture,2,162.06,365.51,43,4,2.3,South America
213,LED TV,Furniture,1,495.34,1571.74,68,10,3.1,Asia
214,Camera Lens,Books,1,266.39,668.69,55,66,3.8,Europe
215,Designer Handbag,Clothing,3,323.39,1981.05,42,16,2.5,North America
216,Antique Vase,Clothing,4,310.27,3323.59,90,14,4.6,Australia
217,Board Game,Books,4,474.01,3431.86,35,50,1.8,South America
218,Vintage Watch,Jewelry,1,74.17,378.27,14,44,3.9,Australia
219,Smart Thermostat,Clothing,1,205.86,2555.35,10,46,4.5,South America
220,Smartwatch,Art,1,269.92,333.32,100,40,3.9,Europe
221,Smart Thermostat,Books,1,271.25,2568.66,55,11,2.7,Europe
222,Bluetooth Speaker,Books,2,233.69,893.9,88,14,1.9,Europe
223,4K Projector,Electronics,4,458.36,2031.55,76,71,3.1,North America
224,Electric Guitar,Jewelry,4,123.94,2188.54,30,24,3.7,Asia
225,Tablet,Art,4,55.26,1945.1,48,68,3.0,North America
226,Wall Art,Art,3,393.44,3750.53,56,33,1.5,North America
227,Dog Bed,Clothing,1,27.28,2927.25,34,71,1.1,South America
228,Bluetooth Speaker,Jewelry,4,314.76,1817.97,87,19,4.3,Asia
229,Robot Vacuum,Books,3,54.56,540.08,94,50,3.0,Asia
230,Wall Art,Books,4,435.13,2236.81,21,32,2.3,Europe
231,E-Reader,Electronics,3,309.44,3822.57,93,43,1.7,South America
232,Diamond Ring,Art,2,95.14,1948.55,5,16,1.0,Africa
233,Vintage Watch,Art,3,120.09,522.07,75,23,1.9,Europe
234,Smartphone,Clothing,4,271.79,242.35,12,52,4.9,South America
235,Diamond Ring,Clothing,1,306.27,2655.68,32,39,4.0,Europe
236,Diamond Ring,Clothing,2,391.16,2184.25,41,64,1.9,North America
237,Mountain Bike,Books,1,310.04,4706.48,54,6,3.8,Europe
238,Espresso Machine,Furniture,1,377.54,3071.28,84,9,1.6,Europe
239,Fitness Tracker,Books,3,26.71,4464.12,38,22,2.5,South America
240,Mountain Bike,Clothing,4,182.77,4169.85,93,60,4.3,Asia
241,Collectible Coin,Jewelry,2,424.0,1330.5,73,69,4.7,Asia
242,Winter Coat,Books,3,470.17,3334.93,90,28,3.2,Europe
243,Vintage Watch,Art,3,410.42,3199.22,62,3,4.0,Europe
244,Diamond Ring,Furniture,2,362.16,3721.77,7,38,4.3,Africa
245,Baby Stroller,Books,3,45.67,1107.61,3,56,1.2,Africa
246,Board Game,Furniture,3,377.15,2125.36,71,14,1.6,North America
247,Portable Charger,Jewelry,1,150.61,2634.0,95,18,1.5,Asia
248,Leather Jacket,Books,4,62.91,3564.18,31,29,3.1,Europe
249,Antique Vase,Furniture,1,103.88,4538.17,25,71,1.1,North America
250,Espresso Machine,Books,2,338.33,2349.95,33,63,3.5,Asia
251,Diamond Ring,Furniture,3,98.72,2375.22,75,26,1.8,Australia
252,Camera Lens,Jewelry,1,265.77,1357.62,59,9,4.8,Asia
253,Winter Coat,Jewelry,4,238.43,4720.02,71,63,3.1,North America
254,Fitness Tracker,Jewelry,3,222.45,1403.72,38,55,2.6,South America
255,Collectible Coin,Electronics,4,206.39,3309.11,39,34,1.1,Australia
256,Tablet,Clothing,1,167.92,1183.55,55,6,2.2,Asia
257,Portable Charger,Books,1,36.06,3853.61,75,26,1.2,Australia
258,Tablet,Furniture,3,336.9,743.71,74,28,3.7,Europe
259,Designer Handbag,Electronics,2,440.12,926.68,8,23,3.9,Asia
260,Luggage Set,Electronics,3,493.84,297.3,85,56,1.8,Asia
261,Wall Art,Jewelry,2,332.17,1467.3,28,37,4.6,North America
262,Winter Coat,Books,3,406.55,3623.31,36,67,4.8,Africa
263,Gaming Console,Art,2,340.02,386.87,80,1,3.7,Australia
264,Desk Lamp,Art,1,59.79,4400.19,33,16,2.7,Europe
265,Electric Guitar,Jewelry,1,263.1,4996.5,62,19,3.2,Europe
266,Dining Table,Furniture,3,336.93,1596.13,16,40,2.9,South America
267,Wall Art,Art,1,197.32,1144.45,85,32,3.6,Asia
268,Portable Charger,Jewelry,2,153.36,3178.93,59,2,1.8,South America
269,Desk Lamp,Clothing,1,450.55,3740.84,79,46,1.7,North America
270,Dog Bed,Books,2,452.17,2541.38,37,25,2.7,Europe
271,Antique Vase,Electronics,3,140.74,4810.51,33,68,4.5,Australia
272,4K Projector,Furniture,3,393.15,4853.56,14,43,1.1,South America
273,Portable Charger,Art,2,257.31,2602.45,81,20,2.3,Asia
274,Tablet,Books,1,372.37,4793.43,81,57,4.9,Africa
275,Wall Art,Books,1,145.39,3351.46,22,46,1.4,Australia
276,Cookware Set,Furniture,4,359.4,2960.07,92,29,4.7,Australia
277,E-Reader,Furniture,2,78.12,3036.95,82,35,2.0,North America
278,Collectible Coin,Art,2,96.4,1815.23,90,67,1.3,Europe
279,Antique Vase,Furniture,3,143.49,2657.68,17,34,4.0,North America
280,Backpack,Books,2,438.54,499.52,82,29,4.4,Asia
281,Luggage Set,Books,1,303.87,1068.08,65,19,4.3,Africa
282,Bluetooth Speaker,Electronics,2,170.4,4213.63,83,34,3.4,South America
283,Wall Art,Furniture,2,275.8,1811.03,44,64,3.1,North America
284,Smartphone,Jewelry,4,183.68,1637.27,31,67,3.9,South America
285,Leather Jacket,Art,1,422.94,3386.74,8,21,5.0,North America
286,Sofa,Furniture,1,30.22,3435.34,71,60,5.0,Australia
287,Espresso Machine,Electronics,3,431.3,1494.91,41,8,1.2,Australia
288,Bookshelf,Electronics,3,38.87,3525.56,74,16,1.7,North America
289,Baby Stroller,Books,2,105.26,2314.8,74,46,2.1,South America
290,Diamond Ring,Jewelry,4,123.49,2507.51,39,52,4.6,Asia
291,Vintage Watch,Electronics,3,43.62,1019.72,85,45,1.4,Africa
292,Sneakers,Books,3,242.06,763.13,75,26,3.8,Asia
293,LED TV,Electronics,2,66.78,216.42,23,31,3.4,Asia
294,Luggage Set,Clothing,3,19.48,3928.86,66,70,4.4,Africa
295,Canvas Painting,Jewelry,3,195.44,157.36,27,24,4.0,North America
296,Action Figure,Books,2,213.84,3440.66,29,64,1.8,Asia
297,Camera Lens,Art,3,226.27,4232.9,48,32,4.3,Europe
298,Action Figure,Jewelry,4,40.89,678.27,78,65,3.8,South America
299,Gaming Console,Clothing,3,90.78,3297.55,14,59,5.0,Asia
300,Camera Lens,Art,2,105.53,2292.27,26,62,2.3,Africa
301,LED TV,Jewelry,4,396.08,1347.72,43,28,3.9,North America
302,Laptop,Art,2,66.36,531.98,25,19,4.7,Asia
303,Camera Lens,Electronics,1,331.06,2487.15,58,7,1.4,Europe
304,Winter Coat,Jewelry,2,216.9,2602.46,70,30,4.6,Asia
305,Electric Guitar,Jewelry,1,284.16,4683.98,56,11,4.0,North America
306,Wall Art,Books,3,295.5,4067.8,56,47,2.3,Europe
307,Baby Stroller,Clothing,4,353.63,898.82,74,69,3.3,South America
308,Sneakers,Electronics,3,363.38,3022.75,90,34,4.4,Africa
309,Smartwatch,Art,2,281.89,2581.53,87,47,2.7,North America
310,Espresso Machine,Furniture,4,353.06,2857.24,68,34,2.8,Africa
311,Board Game,Electronics,4,330.77,3430.85,68,14,3.9,South America
312,Luggage Set,Jewelry,2,99.94,1756.65,83,8,4.1,South America
313,Cookware Set,Books,2,273.89,2113.47,55,15,4.3,North America
314,Backpack,Furniture,4,332.19,278.49,27,26,3.6,South America
315,4K Projector,Electronics,1,179.99,3603.23,38,59,3.4,South America
316,Sofa,Books,4,395.31,4677.76,30,17,2.4,Europe
317,Smartphone,Jewelry,1,357.81,116.57,51,17,4.2,South America
318,Smartphone,Art,3,250.93,3376.92,88,34,1.5,Australia
319,Portable Charger,Furniture,4,318.66,4307.28,88,59,1.6,Asia
320,Baby Stroller,Furniture,2,470.36,1186.61,3,57,4.8,Asia
321,LED TV,Clothing,2,316.93,4456.44,70,14,4.6,Asia
322,Smart Thermostat,Clothing,3,480.2,2711.82,74,15,3.5,Europe
323,Board Game,Books,4,437.06,2501.34,37,33,2.1,Europe
324,Cookware Set,Art,3,250.96,4817.13,40,35,3.3,Asia
325,Bluetooth Speaker,Books,1,184.48,1568.37,88,12,2.7,Africa
326,Vintage Watch,Books,1,262.39,1188.49,92,4,4.8,Africa
327,Robot Vacuum,Furniture,1,389.43,1416.78,83,23,3.1,Africa
328,4K Projector,Furniture,3,384.05,2800.93,95,54,3.0,Australia
329,Coffee Maker,Clothing,3,106.46,1395.0,17,53,3.3,Europe
330,Winter Coat,Jewelry,2,156.1,179.18,87,70,3.1,Africa
331,Laptop,Jewelry,4,349.67,2948.24,58,69,5.0,Australia
332,Mountain Bike,Electronics,4,81.96,1412.41,64,29,1.6,Europe
333,Bookshelf,Electronics,2,389.55,2158.84,36,5,2.0,Australia
334,Tablet,Furniture,2,56.16,2811.7,51,14,2.5,South America
335,Fitness Tracker,Clothing,2,200.61,1290.29,26,55,3.1,Africa
336,Antique Vase,Art,4,238.92,525.77,91,7,1.7,Africa
337,Tablet,Furniture,2,21.15,3136.6,7,55,4.7,Europe
338,Bluetooth Speaker,Clothing,2,233.45,1509.58,91,14,4.7,South America
339,Bluetooth Speaker,Clothing,4,143.19,2308.08,52,19,4.2,Australia
340,Tablet,Furniture,3,162.52,356.69,43,30,1.9,Australia
341,Tablet,Jewelry,2,356.39,4633.53,34,8,2.2,South America
342,Gaming Console,Jewelry,3,103.86,806.08,85,54,1.5,Europe
343,Board Game,Books,1,413.34,4130.58,50,68,4.6,Asia
344,Mountain Bike,Jewelry,3,355.68,2849.08,13,69,2.9,North America
345,Smartphone,Electronics,3,452.29,2628.93,37,19,4.5,Europe
346,Bluetooth Speaker,Electronics,4,265.88,2479.02,97,69,2.0,South America
347,Sofa,Art,2,139.87,1917.56,47,14,1.3,Asia
348,Mountain Bike,Furniture,1,61.24,4192.14,36,23,1.7,South America
349,Bookshelf,Electronics,4,176.79,3773.27,40,30,1.6,North America
350,Antique Vase,Clothing,1,367.17,3221.96,24,41,4.9,North America
351,Action Figure,Furniture,2,131.34,3900.87,85,34,1.5,Africa
352,Backpack,Art,4,442.01,4625.89,45,55,1.5,Europe
353,Smart Thermostat,Jewelry,1,339.73,3611.76,43,47,1.2,Asia
354,Coffee Maker,Books,1,416.37,494.98,73,4,4.1,South America
355,Bluetooth Speaker,Books,3,435.61,4468.62,21,49,1.8,Australia
356,Portable Charger,Clothing,4,200.04,3881.46,53,22,4.6,North America
357,Robot Vacuum,Jewelry,3,274.97,376.66,70,32,1.4,South America
358,Diamond Ring,Books,3,417.76,230.54,10,12,1.8,Europe
359,Dining Table,Books,2,301.95,3318.4,6,13,2.8,Australia
360,Electric Guitar,Electronics,2,139.03,1854.34,38,56,2.1,Africa
361,Wireless Headphones,Clothing,4,54.65,3982.52,25,65,4.7,South America
362,LED TV,Clothing,1,134.27,4051.44,6,66,2.6,North America
363,Bluetooth Speaker,Books,3,411.9,1091.79,90,22,3.2,South America
364,Smartwatch,Furniture,2,187.51,4816.1,52,49,4.2,Australia
365,Fitness Tracker,Books,1,382.69,4343.66,33,47,3.2,Europe
366,Antique Vase,Jewelry,4,119.0,603.72,83,37,3.1,North America
367,Espresso Machine,Art,4,49.32,755.85,93,61,2.0,Australia
368,Dining Table,Jewelry,4,278.24,731.68,69,60,4.3,Asia
369,Leather Jacket,Clothing,4,59.28,2537.92,7,66,3.3,Europe
370,Sofa,Furniture,1,343.33,1383.0,52,10,1.8,Australia
371,Bookshelf,Furniture,4,258.13,1905.78,48,15,3.2,Asia
372,E-Reader,Electronics,4,296.75,2786.84,80,44,1.6,South America
373,Smartphone,Clothing,1,355.79,4152.22,100,33,2.1,Europe
374,Baby Stroller,Art,1,326.43,4609.99,70,70,1.2,North America
375,Leather Jacket,Furniture,1,133.18,3322.56,33,18,4.7,South America
376,Backpack,Electronics,2,82.68,2775.45,15,36,1.8,Asia
377,Sneakers,Clothing,1,345.72,4666.37,37,16,3.2,Australia
378,Board Game,Books,3,216.29,2305.46,86,25,4.7,Australia
379,Dog Bed,Furniture,1,338.37,571.99,41,35,3.1,Asia
380,Coffee Maker,Jewelry,2,423.95,1901.84,52,18,1.9,Europe
381,Bluetooth Speaker,Clothing,3,103.0,930.97,79,64,3.8,Africa
382,Leather Jacket,Books,2,442.32,418.12,82,71,4.1,North America
383,Vintage Watch,Art,1,126.95,518.49,21,46,4.9,Africa
384,Bluetooth Speaker,Art,3,281.44,758.4,65,59,4.7,North America
