item_id,item_name,category,item_condition,starting_price,final_price,bids_count,auction_duration,status,predicted_final_price,seller
44,Item_44,Mobiles,Refurbished,759,1137,17,1 Days,Completed,1157,Seller_2
45,Item_45,Furniture,New,908,927,9,6 Days,Completed,922,Seller_10
46,Item_46,Sports,Used,896,910,16,7 Days,Completed,877,Seller_3
47,Item_47,Art,Refurbished,705,1071,12,3 Days,Completed,1078,Seller_1
48,Item_48,Sports,Refurbished,643,1053,16,1 Days,Completed,1080,Seller_3
49,Item_49,Fashion,New,523,602,7,6 Days,Completed,635,Seller_5
50,Item_50,Mobiles,Refurbished,204,462,11,3 Days,Completed,472,Seller_2
51,Item_51,Appliances,Used,998,1457,3,6 Days,Completed,1408,Seller_9
52,Item_52,Mobiles,New,867,1167,20,3 Days,Completed,1168,Seller_2
53,Item_53,Mobiles,Refurbished,969,1243,4,2 Days,Completed,1207,Seller_2
54,Item_54,Jewelry,New,973,1356,17,6 Days,Completed,1397,Seller_8
55,Item_55,Furniture,New,478,844,3,3 Days,Completed,888,Seller_10
56,Item_56,Furniture,New,757,915,1,1 Days,Completed,921,Seller_10
57,Item_57,Sports,Refurbished,482,600,13,6 Days,Completed,633,Seller_3
58,Item_58,Jewelry,Used,273,569,7,5 Days,Completed,545,Seller_8
59,Item_59,Electronics,New,176,360,1,4 Days,Completed,367,Seller_7
60,Item_60,Mobiles,Used,755,840,2,6 Days,Completed,880,Seller_2
61,Item_61,Furniture,Used,971,1380,15,5 Days,Completed,1363,Seller_10
62,Item_62,Appliances,New,896,1108,7,4 Days,Completed,1062,Seller_9
63,Item_63,Fashion,Refurbished,664,1020,11,2 Days,Completed,1025,Seller_5
64,Item_64,Electronics,Used,359,423,3,2 Days,Completed,384,Seller_7
65,Item_65,Gaming,Refurbished,914,1003,19,7 Days,Completed,1012,Seller_6
66,Item_66,Mobiles,Used,982,1310,16,7 Days,Completed,1325,Seller_2
67,Item_67,Sports,Used,209,438,16,2 Days,Completed,420,Seller_3
68,Item_68,Fashion,Refurbished,156,582,11,7 Days,Completed,537,Seller_5
69,Item_69,Fashion,New,829,1097,15,7 Days,Completed,1052,Seller_5
70,Item_70,Appliances,New,724,908,5,3 Days,Completed,923,Seller_9
71,Item_71,Fashion,Used,866,1295,10,7 Days,Completed,1316,Seller_5
72,Item_72,Gaming,Used,482,571,20,7 Days,Completed,610,Seller_6
73,Item_73,Art,Refurbished,459,927,8,6 Days,Completed,886,Seller_1
74,Item_74,Sports,Used,551,585,9,6 Days,Completed,561,Seller_3
75,Item_75,Art,Used,556,1018,8,6 Days,Completed,1036,Seller_1
76,Item_76,Electronics,Used,289,462,13,4 Days,Completed,462,Seller_7
77,Item_77,Electronics,New,266,722,15,4 Days,Completed,766,Seller_7
78,Item_78,Mobiles,New,950,1445,3,3 Days,Completed,1441,Seller_2
79,Item_79,Fashion,Used,539,1039,9,1 Days,Completed,1043,Seller_5
80,Item_80,Fashion,Refurbished,152,332,7,5 Days,Completed,368,Seller_5
81,Item_81,Appliances,Refurbished,633,886,6,2 Days,Completed,861,Seller_9
82,Item_82,Jewelry,Refurbished,353,416,11,4 Days,Completed,405,Seller_8
83,Item_83,Art,Used,629,1040,9,1 Days,Completed,1007,Seller_1
84,Item_84,Fashion,New,936,1139,9,1 Days,Completed,1167,Seller_5
85,Item_85,Gaming,Used,414,728,8,2 Days,Completed,763,Seller_6
86,Item_86,Appliances,Refurbished,998,1267,14,6 Days,Completed,1233,Seller_9
87,Item_87,Mobiles,Refurbished,473,882,5,7 Days,Completed,861,Seller_2
88,Item_88,Mobiles,Used,110,371,6,6 Days,Completed,394,Seller_2
89,Item_89,Gaming,New,742,1156,13,6 Days,Completed,1170,Seller_6
90,Item_90,Sports,New,483,899,9,7 Days,Completed,926,Seller_3
91,Item_91,Appliances,Refurbished,599,872,19,4 Days,Completed,823,Seller_9
92,Item_92,Sports,Refurbished,871,1282,16,1 Days,Completed,1274,Seller_3
93,Item_93,Furniture,Used,209,567,12,7 Days,Completed,613,Seller_10
94,Item_94,Fashion,New,989,1426,12,7 Days,Completed,1405,Seller_5
95,Item_95,Art,New,545,749,12,7 Days,Completed,705,Seller_1
96,Item_96,Electronics,New,985,1224,19,6 Days,Completed,1247,Seller_7
97,Item_97,Art,New,964,1262,7,6 Days,Completed,1216,Seller_1
98,Item_98,Mobiles,New,983,1226,15,5 Days,Completed,1193,Seller_2
99,Item_99,Sports,Used,762,889,10,7 Days,Completed,904,Seller_3
100,Item_100,Gaming,New,519,716,20,7 Days,Completed,716,Seller_6
101,Item_101,Sports,Used,423,664,4,6 Days,Completed,713,Seller_3
102,Item_102,Books,New,328,498,10,7 Days,Completed,461,Seller_4
103,Item_103,Mobiles,Refurbished,950,1134,7,3 Days,Completed,1166,Seller_2
104,Item_104,Sports,Used,111,334,6,6 Days,Completed,381,Seller_3
105,Item_105,Fashion,New,800,1151,5,1 Days,Completed,1146,Seller_5
106,Item_106,Books,New,517,696,16,1 Days,Completed,668,Seller_4
107,Item_107,Jewelry,Used,362,512,17,4 Days,Completed,473,Seller_8
108,Item_108,Electronics,Used,853,1341,6,2 Days,Completed,1301,Seller_7
109,Item_109,Mobiles,Refurbished,170,374,10,6 Days,Completed,345,Seller_2
110,Item_110,Sports,Used,122,184,7,3 Days,Completed,138,Seller_3
111,Item_111,Sports,Refurbished,362,393,7,6 Days,Completed,419,Seller_3
112,Item_112,Books,Refurbished,183,596,20,3 Days,Completed,605,Seller_4
113,Item_113,Jewelry,Used,882,1357,7,2 Days,Completed,1383,Seller_8
114,Item_114,Mobiles,New,454,738,4,4 Days,Completed,745,Seller_2
115,Item_115,Books,Used,965,1425,8,1 Days,Completed,1419,Seller_4
116,Item_116,Fashion,New,769,975,15,2 Days,Completed,976,Seller_5
117,Item_117,Mobiles,Used,696,1159,3,5 Days,Completed,1124,Seller_2
118,Item_118,Jewelry,New,550,692,4,4 Days,Completed,723,Seller_8
119,Item_119,Jewelry,Used,338,715,2,1 Days,Completed,680,Seller_8
120,Item_120,Fashion,New,139,149,1,2 Days,Completed,180,Seller_5
121,Item_121,Sports,Refurbished,900,1221,19,1 Days,Completed,1184,Seller_3
122,Item_122,Furniture,New,468,841,15,5 Days,Completed,819,Seller_10
123,Item_123,Mobiles,New,199,537,10,1 Days,Completed,510,Seller_2
124,Item_124,Electronics,New,649,1029,14,5 Days,Completed,1039,Seller_7
125,Item_125,Electronics,Refurbished,787,1279,3,1 Days,Completed,1274,Seller_7
126,Item_126,Furniture,Used,461,604,8,7 Days,Completed,634,Seller_10
127,Item_127,Sports,Refurbished,550,815,12,7 Days,Completed,797,Seller_3
128,Item_128,Fashion,New,501,578,17,4 Days,Completed,590,Seller_5
129,Item_129,Appliances,New,950,1236,6,7 Days,Completed,1186,Seller_9
130,Item_130,Electronics,Used,318,586,6,4 Days,Completed,609,Seller_7
131,Item_131,Fashion,Refurbished,127,526,12,5 Days,Completed,479,Seller_5
132,Item_132,Gaming,Used,959,1126,5,3 Days,Completed,1129,Seller_6
133,Item_133,Mobiles,Refurbished,467,652,19,4 Days,Completed,673,Seller_2
134,Item_134,Electronics,New,658,1104,3,2 Days,Completed,1060,Seller_7
135,Item_135,Mobiles,Refurbished,322,414,10,3 Days,Completed,440,Seller_2
136,Item_136,Furniture,Used,886,994,12,3 Days,Completed,1029,Seller_10
137,Item_137,Appliances,Used,314,596,17,1 Days,Completed,590,Seller_9
138,Item_138,Appliances,New,170,363,16,3 Days,Completed,339,Seller_9
139,Item_139,Sports,New,745,756,18,4 Days,Completed,758,Seller_3
140,Item_140,Electronics,Refurbished,363,707,15,7 Days,Completed,682,Seller_7
141,Item_141,Electronics,Refurbished,567,1054,5,1 Days,Completed,1093,Seller_7
142,Item_142,Jewelry,New,540,1039,5,6 Days,Completed,992,Seller_8
143,Item_143,Appliances,Used,906,1011,17,2 Days,Completed,997,Seller_9
144,Item_144,Electronics,Used,233,368,15,6 Days,Completed,327,Seller_7
145,Item_145,Books,Refurbished,239,503,7,2 Days,Completed,489,Seller_4
146,Item_146,Mobiles,Refurbished,417,603,5,4 Days,Completed,569,Seller_2
147,Item_147,Appliances,New,323,774,13,1 Days,Completed,726,Seller_9
148,Item_148,Art,New,385,584,6,5 Days,Completed,592,Seller_1
149,Item_149,Appliances,Refurbished,565,985,15,3 Days,Completed,976,Seller_9
150,Item_150,Jewelry,Refurbished,805,1160,14,1 Days,Completed,1141,Seller_8
151,Item_151,Fashion,Used,366,862,16,2 Days,Completed,856,Seller_5
152,Item_152,Sports,Used,702,797,18,1 Days,Completed,753,Seller_3
153,Item_153,Jewelry,New,155,646,19,3 Days,Completed,688,Seller_8
154,Item_154,Electronics,Used,690,922,5,5 Days,Completed,932,Seller_7
155,Item_155,Appliances,New,137,172,1,3 Days,Completed,207,Seller_9
156,Item_156,Appliances,Used,548,816,3,1 Days,Completed,776,Seller_9
157,Item_157,Electronics,Refurbished,355,559,11,5 Days,Completed,608,Seller_7
158,Item_158,Furniture,Used,941,1156,13,2 Days,Completed,1164,Seller_10
159,Item_159,Electronics,Refurbished,947,1066,13,1 Days,Completed,1086,Seller_7
160,Item_160,Fashion,New,267,407,6,3 Days,Completed,368,Seller_5
161,Item_161,Appliances,New,152,563,6,7 Days,Completed,608,Seller_9
162,Item_162,Gaming,New,919,1157,14,3 Days,Completed,1157,Seller_6
163,Item_163,Appliances,Refurbished,420,603,11,1 Days,Completed,653,Seller_9
164,Item_164,Jewelry,Used,629,982,19,2 Days,Completed,971,Seller_8
165,Item_165,Electronics,Used,929,1376,15,5 Days,Completed,1391,Seller_7
166,Item_166,Jewelry,Refurbished,578,687,1,4 Days,Completed,690,Seller_8
167,Item_167,Mobiles,Refurbished,570,1018,17,3 Days,Completed,1003,Seller_2
168,Item_168,Fashion,New,214,234,1,5 Days,Completed,212,Seller_5
169,Item_169,Furniture,New,387,760,3,5 Days,Completed,777,Seller_10
170,Item_170,Books,New,116,540,6,3 Days,Completed,587,Seller_4
171,Item_171,Appliances,Refurbished,776,999,13,1 Days,Completed,1018,Seller_9
172,Item_172,Electronics,Used,369,466,6,2 Days,Completed,448,Seller_7
173,Item_173,Sports,Refurbished,320,531,19,3 Days,Completed,514,Seller_3
174,Item_174,Furniture,Used,954,1443,2,2 Days,Completed,1393,Seller_10
175,Item_175,Books,Refurbished,479,506,17,2 Days,Completed,497,Seller_4
176,Item_176,Jewelry,Refurbished,507,927,6,5 Days,Completed,971,Seller_8
177,Item_177,Gaming,Refurbished,661,828,18,4 Days,Completed,857,Seller_6
178,Item_178,Gaming,New,716,965,8,2 Days,Completed,945,Seller_6
179,Item_179,Fashion,New,605,925,14,4 Days,Completed,946,Seller_5
180,Item_180,Furniture,Used,537,566,13,1 Days,Completed,595,Seller_10
181,Item_181,Gaming,Used,203,605,18,5 Days,Completed,569,Seller_6
182,Item_182,Sports,New,133,460,11,4 Days,Completed,464,Seller_3
183,Item_183,Appliances,New,216,355,12,3 Days,Completed,342,Seller_9
184,Item_184,Sports,Refurbished,711,827,19,1 Days,Completed,799,Seller_3
185,Item_185,Appliances,Used,813,984,20,6 Days,Completed,996,Seller_9
186,Item_186,Fashion,Used,351,663,19,1 Days,Completed,619,Seller_5
187,Item_187,Furniture,New,474,815,15,5 Days,Completed,768,Seller_10
188,Item_188,Art,New,379,626,20,7 Days,Completed,634,Seller_1
189,Item_189,Gaming,Used,354,494,13,3 Days,Completed,480,Seller_6
190,Item_190,Mobiles,Used,437,685,16,4 Days,Completed,697,Seller_2
191,Item_191,Gaming,New,932,1320,5,6 Days,Completed,1318,Seller_6
192,Item_192,Electronics,Refurbished,124,408,1,1 Days,Completed,369,Seller_7
193,Item_193,Mobiles,New,789,801,2,1 Days,Completed,802,Seller_2
194,Item_194,Appliances,Used,731,881,9,2 Days,Completed,928,Seller_9
195,Item_195,Jewelry,Refurbished,816,1023,17,7 Days,Completed,988,Seller_8
196,Item_196,Electronics,New,560,884,19,2 Days,Completed,886,Seller_7
197,Item_197,Sports,Refurbished,491,744,20,6 Days,Completed,714,Seller_3
198,Item_198,Books,Refurbished,605,1000,10,7 Days,Completed,980,Seller_4
199,Item_199,Art,New,522,763,14,4 Days,Completed,749,Seller_1
200,Item_200,Art,Refurbished,758,1116,10,1 Days,Completed,1150,Seller_1
201,Item_201,Art,Used,729,1178,19,5 Days,Completed,1147,Seller_1
202,Item_202,Appliances,Used,232,669,18,5 Days,Completed,704,Seller_9
203,Item_203,Fashion,Refurbished,726,1219,12,3 Days,Completed,1250,Seller_5
204,Item_204,Electronics,Used,650,928,13,4 Days,Completed,910,Seller_7
205,Item_205,Fashion,New,537,843,16,3 Days,Completed,891,Seller_5
206,Item_206,Books,Refurbished,499,907,11,2 Days,Completed,918,Seller_4
207,Item_207,Appliances,Used,910,1313,3,4 Days,Completed,1336,Seller_9
208,Item_208,Art,Refurbished,575,690,20,6 Days,Completed,694,Seller_1
209,Item_209,Jewelry,Refurbished,641,1088,8,5 Days,Completed,1094,Seller_8
210,Item_210,Electronics,Refurbished,830,923,11,2 Days,Completed,911,Seller_7
211,Item_211,Gaming,New,684,883,2,7 Days,Completed,858,Seller_6
212,Item_212,Jewelry,Used,895,1037,9,1 Days,Completed,1061,Seller_8
213,Item_213,Appliances,Refurbished,354,371,17,3 Days,Completed,368,Seller_9
214,Item_214,Art,Used,165,316,9,3 Days,Completed,285,Seller_1
215,Item_215,Gaming,Refurbished,700,1039,10,3 Days,Completed,1067,Seller_6
216,Item_216,Appliances,Used,856,1277,20,6 Days,Completed,1285,Seller_9
217,Item_217,Gaming,Refurbished,953,1189,9,6 Days,Completed,1207,Seller_6
218,Item_218,Appliances,New,843,1121,15,5 Days,Completed,1156,Seller_9
219,Item_219,Gaming,New,135,529,16,2 Days,Completed,496,Seller_6
220,Item_220,Art,Used,944,1288,1,3 Days,Completed,1250,Seller_1
221,Item_221,Electronics,Refurbished,148,417,1,1 Days,Completed,430,Seller_7
222,Item_222,Fashion,Used,116,517,20,2 Days,Completed,488,Seller_5
223,Item_223,Appliances,Used,690,1020,12,7 Days,Completed,1021,Seller_9
224,Item_224,Gaming,New,901,1300,7,5 Days,Completed,1325,Seller_6
225,Item_225,Sports,New,191,266,13,4 Days,Completed,256,Seller_3
226,Item_226,Fashion,Used,954,1355,11,7 Days,Completed,1373,Seller_5
227,Item_227,Art,Refurbished,393,660,3,5 Days,Completed,690,Seller_1
228,Item_228,Sports,New,987,1128,14,1 Days,Completed,1124,Seller_3
229,Item_229,Art,New,284,383,10,5 Days,Completed,341,Seller_1
230,Item_230,Furniture,Used,945,1175,14,6 Days,Completed,1208,Seller_10
231,Item_231,Mobiles,Refurbished,114,292,1,3 Days,Completed,279,Seller_2
232,Item_232,Jewelry,Used,293,780,13,2 Days,Completed,730,Seller_8
233,Item_233,Appliances,Used,382,523,13,1 Days,Completed,527,Seller_9
234,Item_234,Electronics,Refurbished,837,1212,12,2 Days,Completed,1216,Seller_7
235,Item_235,Electronics,Refurbished,981,1146,13,7 Days,Completed,1166,Seller_7
236,Item_236,Gaming,Used,385,596,6,3 Days,Completed,547,Seller_6
237,Item_237,Art,Refurbished,288,752,15,5 Days,Completed,796,Seller_1
238,Item_238,Gaming,New,315,393,12,6 Days,Completed,416,Seller_6
239,Item_239,Fashion,New,677,1064,5,7 Days,Completed,1101,Seller_5
240,Item_240,Jewelry,Used,860,1310,13,5 Days,Completed,1354,Seller_8
241,Item_241,Fashion,New,607,1013,2,7 Days,Completed,990,Seller_5
242,Item_242,Jewelry,Used,477,625,9,7 Days,Completed,663,Seller_8
243,Item_243,Art,Refurbished,765,795,7,2 Days,Completed,756,Seller_1
244,Item_244,Jewelry,Refurbished,686,799,1,3 Days,Completed,805,Seller_8
245,Item_245,Gaming,Used,705,931,13,3 Days,Completed,918,Seller_6
246,Item_246,Jewelry,Used,841,904,7,7 Days,Completed,919,Seller_8
247,Item_247,Furniture,Used,748,1102,17,2 Days,Completed,1080,Seller_10
248,Item_248,Mobiles,New,114,511,2,6 Days,Completed,493,Seller_2
249,Item_249,Art,Refurbished,907,1289,17,5 Days,Completed,1329,Seller_1
250,Item_250,Electronics,Used,726,758,18,3 Days,Completed,778,Seller_7
251,Item_251,Jewelry,New,478,793,10,6 Days,Completed,819,Seller_8
252,Item_252,Art,New,295,765,7,5 Days,Completed,739,Seller_1
253,Item_253,Jewelry,New,690,873,4,6 Days,Completed,833,Seller_8
254,Item_254,Gaming,Refurbished,589,663,13,4 Days,Completed,616,Seller_6
255,Item_255,Mobiles,New,159,560,12,3 Days,Completed,545,Seller_2
256,Item_256,Fashion,Refurbished,224,721,3,6 Days,Completed,769,Seller_5
257,Item_257,Fashion,Refurbished,249,481,15,7 Days,Completed,497,Seller_5
258,Item_258,Jewelry,Used,819,865,13,4 Days,Completed,857,Seller_8
259,Item_259,Furniture,Used,120,569,2,1 Days,Completed,532,Seller_10
260,Item_260,Appliances,Refurbished,564,999,12,2 Days,Completed,951,Seller_9
261,Item_261,Appliances,Refurbished,697,752,19,1 Days,Completed,802,Seller_9
262,Item_262,Mobiles,Refurbished,842,1288,8,7 Days,Completed,1321,Seller_2
263,Item_263,Sports,New,630,983,10,1 Days,Completed,979,Seller_3
264,Item_264,Jewelry,New,749,1242,11,5 Days,Completed,1290,Seller_8
265,Item_265,Fashion,Refurbished,735,1210,14,1 Days,Completed,1206,Seller_5
266,Item_266,Books,Used,138,468,13,6 Days,Completed,485,Seller_4
267,Item_267,Jewelry,Used,328,607,7,1 Days,Completed,597,Seller_8
268,Item_268,Books,Refurbished,639,925,17,1 Days,Completed,888,Seller_4
269,Item_269,Sports,New,406,554,15,4 Days,Completed,550,Seller_3
270,Item_270,Jewelry,Used,914,1092,18,2 Days,Completed,1123,Seller_8
271,Item_271,Electronics,Used,840,1195,12,5 Days,Completed,1158,Seller_7
272,Item_272,Jewelry,Used,481,607,15,5 Days,Completed,639,Seller_8
273,Item_273,Gaming,Used,943,1023,13,5 Days,Completed,1048,Seller_6
274,Item_274,Books,Refurbished,581,754,14,3 Days,Completed,794,Seller_4
275,Item_275,Fashion,Used,100,388,13,2 Days,Completed,340,Seller_5
276,Item_276,Furniture,Used,793,857,9,3 Days,Completed,860,Seller_10
277,Item_277,Mobiles,Refurbished,128,538,18,3 Days,Completed,585,Seller_2
278,Item_278,Appliances,Used,518,558,19,6 Days,Completed,561,Seller_9
279,Item_279,Furniture,Refurbished,406,867,5,7 Days,Completed,882,Seller_10
280,Item_280,Gaming,Used,709,1017,1,5 Days,Completed,1019,Seller_6
281,Item_281,Art,Refurbished,776,1019,19,3 Days,Completed,1037,Seller_1
282,Item_282,Books,Refurbished,146,342,15,2 Days,Completed,361,Seller_4
283,Item_283,Jewelry,Refurbished,540,778,7,7 Days,Completed,754,Seller_8
284,Item_284,Art,New,193,412,18,1 Days,Completed,447,Seller_1
285,Item_285,Art,Refurbished,238,620,14,7 Days,Completed,591,Seller_1
286,Item_286,Jewelry,Refurbished,893,1374,12,6 Days,Completed,1342,Seller_8
287,Item_287,Electronics,Used,143,260,6,3 Days,Completed,297,Seller_7
288,Item_288,Jewelry,New,787,893,7,4 Days,Completed,915,Seller_8
289,Item_289,Gaming,Used,519,878,13,4 Days,Completed,832,Seller_6
290,Item_290,Art,Used,363,819,17,5 Days,Completed,781,Seller_1
291,Item_291,Gaming,Used,739,1224,1,7 Days,Completed,1181,Seller_6
292,Item_292,Gaming,Used,321,427,14,3 Days,Completed,412,Seller_6
293,Item_293,Fashion,Used,435,542,16,6 Days,Completed,545,Seller_5
294,Item_294,Furniture,Refurbished,225,568,4,3 Days,Completed,521,Seller_10
295,Item_295,Jewelry,New,506,577,6,5 Days,Completed,543,Seller_8
296,Item_296,Appliances,Used,443,831,1,4 Days,Completed,815,Seller_9
297,Item_297,Electronics,Used,114,252,11,2 Days,Completed,204,Seller_7
298,Item_298,Furniture,Refurbished,242,451,14,3 Days,Completed,422,Seller_10
299,Item_299,Gaming,Refurbished,206,331,6,5 Days,Completed,287,Seller_6
300,Item_300,Art,Refurbished,352,541,5,5 Days,Completed,586,Seller_1
301,Item_301,Appliances,Used,841,1281,6,4 Days,Completed,1257,Seller_9
302,Item_302,Gaming,Used,551,843,18,2 Days,Completed,802,Seller_6
303,Item_303,Appliances,Refurbished,764,995,5,4 Days,Completed,982,Seller_9
304,Item_304,Appliances,New,595,675,5,7 Days,Completed,644,Seller_9
305,Item_305,Sports,Used,570,652,12,5 Days,Completed,694,Seller_3
306,Item_306,Electronics,Refurbished,536,846,4,7 Days,Completed,867,Seller_7
307,Item_307,Art,New,835,1112,2,1 Days,Completed,1138,Seller_1
308,Item_308,Gaming,New,610,646,11,6 Days,Completed,669,Seller_6
309,Item_309,Appliances,New,781,817,3,5 Days,Completed,856,Seller_9
310,Item_310,Appliances,New,734,1193,19,7 Days,Completed,1204,Seller_9
311,Item_311,Jewelry,New,112,441,20,2 Days,Completed,463,Seller_8
312,Item_312,Mobiles,Used,272,572,5,7 Days,Completed,560,Seller_2
313,Item_313,Sports,Used,950,1152,14,5 Days,Completed,1116,Seller_3
314,Item_314,Sports,Used,993,1069,12,2 Days,Completed,1084,Seller_3
315,Item_315,Furniture,Refurbished,904,1327,14,6 Days,Completed,1326,Seller_10
316,Item_316,Gaming,Refurbished,999,1176,15,2 Days,Completed,1217,Seller_6
317,Item_317,Electronics,Refurbished,709,992,6,1 Days,Completed,975,Seller_7
318,Item_318,Furniture,Used,738,867,13,4 Days,Completed,917,Seller_10
319,Item_319,Furniture,Refurbished,804,1245,4,7 Days,Completed,1246,Seller_10
320,Item_320,Furniture,Refurbished,762,1226,10,2 Days,Completed,1219,Seller_10
321,Item_321,Appliances,New,879,1338,10,1 Days,Completed,1327,Seller_9
322,Item_322,Jewelry,Refurbished,229,318,7,7 Days,Completed,368,Seller_8
323,Item_323,Sports,Used,627,959,7,3 Days,Completed,974,Seller_3
324,Item_324,Art,New,578,975,5,3 Days,Completed,962,Seller_1
325,Item_325,Jewelry,Refurbished,554,912,6,6 Days,Completed,886,Seller_8
326,Item_326,Jewelry,Used,800,1029,8,5 Days,Completed,1025,Seller_8
327,Item_327,Fashion,Refurbished,559,979,13,4 Days,Completed,956,Seller_5
328,Item_328,Gaming,New,375,870,1,4 Days,Completed,865,Seller_6
329,Item_329,Jewelry,New,406,791,5,3 Days,Completed,822,Seller_8
330,Item_330,Appliances,Used,216,313,13,2 Days,Completed,336,Seller_9
331,Item_331,Appliances,Refurbished,233,340,3,1 Days,Completed,377,Seller_9
332,Item_332,Books,Used,856,984,2,4 Days,Completed,944,Seller_4
333,Item_333,Fashion,Used,561,1024,17,7 Days,Completed,1022,Seller_5
334,Item_334,Books,Used,318,399,13,5 Days,Completed,437,Seller_4
335,Item_335,Furniture,New,583,985,13,1 Days,Completed,1011,Seller_10
336,Item_336,Appliances,Refurbished,146,263,6,6 Days,Completed,276,Seller_9
337,Item_337,Furniture,New,844,989,10,3 Days,Completed,1030,Seller_10
338,Item_338,Mobiles,Refurbished,689,1140,11,3 Days,Completed,1127,Seller_2
339,Item_339,Sports,Used,831,1018,11,2 Days,Completed,1033,Seller_3
340,Item_340,Furniture,Refurbished,979,1128,19,4 Days,Completed,1166,Seller_10
341,Item_341,Fashion,Refurbished,216,293,6,3 Days,Completed,340,Seller_5
342,Item_342,Appliances,New,369,571,11,5 Days,Completed,594,Seller_9
343,Item_343,Fashion,New,135,567,18,1 Days,Completed,562,Seller_5
344,Item_344,Sports,Used,960,1307,18,5 Days,Completed,1295,Seller_3
345,Item_345,Appliances,New,449,653,5,1 Days,Completed,679,Seller_9
346,Item_346,Jewelry,Used,990,1022,13,6 Days,Completed,1011,Seller_8
347,Item_347,Jewelry,New,288,627,11,5 Days,Completed,630,Seller_8
348,Item_348,Fashion,Refurbished,910,1141,12,2 Days,Completed,1123,Seller_5
349,Item_349,Furniture,Refurbished,125,283,10,3 Days,Completed,306,Seller_10
350,Item_350,Furniture,Refurbished,459,540,17,1 Days,Completed,513,Seller_10
351,Item_351,Books,New,769,1235,10,3 Days,Completed,1234,Seller_4
352,Item_352,Books,New,530,855,20,1 Days,Completed,848,Seller_4
353,Item_353,Furniture,New,804,1005,15,1 Days,Completed,1030,Seller_10
354,Item_354,Electronics,New,638,827,4,3 Days,Completed,779,Seller_7
